gender,age,id,became_member_on (year month day),income,ever_married,kids,home_state,Cluster
M,52,b6905df3630b4137b077b6e1b4b21d75,20170227,46000.0,Yes,2,North Carolina,120
M,64,66ccb31b29da4e9db3337fcfd5039c17,20180304,67000.0,Yes,3,North Carolina,120
M,39,30f768e59835437d86743fd5daad69e3,20180524,71000.0,Yes,3,North Carolina,120
M,55,d0ca8c271d754b7b9c565443d676d61f,20160908,68000.0,Yes,2,North Carolina,120
M,62,111b40bd65784e179b2e7ba13c481ca2,20170920,48000.0,Yes,1,North Carolina,120
M,49,e25ba3813b224ea894e9d5bdd9f1bd64,20180123,65000.0,Yes,5,North Carolina,120
M,50,7c8479d8241344f6a0c306621e191c75,20130927,51000.0,Yes,2,North Carolina,120
M,43,0eca500cc9b449f2a134bcd37990d539,20180327,31000.0,Yes,5,North Carolina,120
M,37,9fb2081cc2eb4cb9bfb7265dca9a7879,20180705,36000.0,Yes,0,North Carolina,120
M,64,162e7d9c644b438ea4606e337df0d3d1,20160419,60000.0,Yes,2,North Carolina,120
M,36,ed53076edc1d445cabf99d3d0b37a6a9,20150305,37000.0,Yes,2,North Carolina,120
M,59,65e2bf7869e64803ba1b1cb0ccb3c783,20150629,69000.0,Yes,0,North Carolina,120
M,61,4b23443348ea45c48bc162aea36a1ed2,20160519,50000.0,Yes,0,North Carolina,120
M,39,f33fc79619c74e268db0fab6d9c04153,20170312,67000.0,Yes,4,North Carolina,120
M,25,9a51d710fdda4b4ebba9550dcd15353c,20160528,50000.0,Yes,1,North Carolina,120
M,43,9885e229fb8541afb0fb5d4d25eef01f,20171212,75000.0,Yes,3,North Carolina,120
M,20,2efa56bdd66f404299852e789396daf7,20171204,39000.0,Yes,1,North Carolina,120
M,62,894a6c4b725e46da8a322de4753d31e6,20160918,37000.0,Yes,0,North Carolina,120
M,65,5465e844845a4a5c82864a608b79e940,20171120,56000.0,Yes,2,North Carolina,120
M,56,145de283cf9c4377a3dea3afb87774f3,20180316,100000.0,Yes,0,North Carolina,120
M,27,153e3e2d8ca342eeb5bcdbaeb7552568,20170807,44000.0,Yes,5,North Carolina,120
M,49,eb708237b7884000ad536f75d77f08f6,20171210,30000.0,Yes,0,North Carolina,120
M,62,7924f921b7f04e34aafd37c1b58a4ca9,20151106,76000.0,Yes,0,North Carolina,120
M,43,2e5cbaf69f254079b136da55020cac9a,20171214,46000.0,Yes,5,North Carolina,120
M,38,972f123ca0404df6bc8eeb937c044778,20180717,43000.0,Yes,3,North Carolina,120
