gender,age,id,became_member_on (year month day),income,ever_married,kids,home_state,Cluster
M,58,2eeac8d8feae4a8cad5a6af0499a211d,20171111,51000.0,Yes,5,South Dakota,4
M,39,8ca29d07b300474786a6016fe76174dd,20160404,55000.0,Yes,0,South Dakota,4
M,46,e89dce9d75634dc5bf1df0a0cea0f316,20180723,40000.0,Yes,2,South Dakota,4
M,53,142a2b3df84841599071107326368f2b,20150925,39000.0,Yes,2,South Dakota,4
M,22,91980427ebe04cd7be18426320375cc5,20170904,45000.0,Yes,4,South Dakota,4
M,42,6fa9ef8890bc467699ce92f2679a4178,20160729,78000.0,Yes,4,South Dakota,4
M,64,da2cee9684f84f1aa336ddd723a5568a,20171223,36000.0,Yes,2,South Dakota,4
M,20,ea10d329aaae4289bad750793117f69f,20171106,33000.0,Yes,1,South Dakota,4
M,37,84f75d1db57648e5a2de3dcc4a4ab3b6,20171113,56000.0,Yes,0,South Dakota,4
M,55,3cd6e00ce10940d58c61d60647820d5d,20160104,53000.0,Yes,5,South Dakota,4
M,36,b838d092a36b4d908d64692f51277fb5,20170920,33000.0,Yes,0,South Dakota,4
M,49,60329034e2bb4715a8a56f6b4d3e1708,20171224,58000.0,Yes,2,South Dakota,4
M,55,840cc4f0ccbb4ba7af0c511ec023ee85,20161130,41000.0,Yes,3,South Dakota,4
M,24,3a97fdd1f1aa42ca989e9fcec3f6e043,20170113,38000.0,Yes,2,South Dakota,4
M,62,c960b1aee1b34a359173d04a6af5c833,20160816,78000.0,Yes,2,South Dakota,4
M,50,b4298bee37414eb7b30feeea90f8247b,20180121,46000.0,Yes,2,South Dakota,4
M,51,f062a057cfcc49c39563e045d4e1c0ec,20180417,65000.0,Yes,0,South Dakota,4
M,55,2698c067b1d74815bc3a899e301f93e8,20171014,52000.0,Yes,5,South Dakota,4
M,44,03676dc08a0a4899b0af5030bb6da6f5,20161115,83000.0,Yes,0,South Dakota,4
M,43,a4ecd1ebb16a4800bdbf57aaf0144078,20180711,93000.0,Yes,2,South Dakota,4
M,63,2db574f9885b44fbbb99396ffd60511a,20170912,71000.0,Yes,4,South Dakota,4
M,38,23a674ce0edb4458a1d8fdb1d8ed067c,20180312,35000.0,Yes,5,South Dakota,4
M,56,596bd8f29e87418a8f0a8c21f3ce6365,20170512,61000.0,Yes,2,South Dakota,4
