gender,age,id,became_member_on (year month day),income,ever_married,kids,home_state,Cluster
M,42,c610bd00615c41079c7a1a33f76d9228,20170403,91000.0,Yes,2,Kentucky,117
M,51,ea8a1cb1c56e42e4807e9ec27b95b97b,20171214,70000.0,Yes,2,Kentucky,117
M,41,b7363fe1c1824c4a94961e7583193ba4,20160121,49000.0,Yes,0,Kentucky,117
M,43,90e3006dafc4487aa3edadcaa8cc36de,20170518,56000.0,Yes,2,Kentucky,117
M,63,f7465d18ba7f4e43b99ccabf141d421d,20130921,47000.0,Yes,0,Kentucky,117
M,42,c527628db5064bcea197c2a1e28f7d7d,20161028,49000.0,Yes,2,Kentucky,117
M,33,c407a4f4f05f467ba6268b048a75e728,20160109,53000.0,Yes,2,Kentucky,117
M,64,393041633e9e4d1c834537ae4ecf063d,20180426,75000.0,Yes,0,Kentucky,117
M,29,91aef7566d8c4965aa29687a05a9ab25,20160719,36000.0,Yes,0,Kentucky,117
M,25,3451f04e7ee5436597ed24c765333699,20150301,42000.0,Yes,1,Kentucky,117
M,43,1651e5b1270448a8a401790745bd1c6c,20150201,44000.0,Yes,0,Kentucky,117
M,29,7a5b9a18071a4e6fb821d59689b6fa56,20171006,54000.0,Yes,0,Kentucky,117
M,19,82ae17a3de0e42428cf651a91e23fb00,20180502,50000.0,Yes,0,Kentucky,117
M,66,61747cb0da434feb9225e15cf3271175,20180513,88000.0,Yes,2,Kentucky,117
M,20,14f7070a8987467baed8df67c54dfd88,20171218,71000.0,Yes,2,Kentucky,117
M,52,7b0fe46288a44fb98514bbcd83db3c6c,20171121,56000.0,Yes,0,Kentucky,117
M,58,f2ecbad774a14496b16393f8dba1528a,20140716,40000.0,Yes,0,Kentucky,117
M,51,a33e1e7f26ea4b9a824bf1902ee073fc,20171116,106000.0,Yes,0,Kentucky,117
M,40,a9930daf12d445d49c47fa7f08e4bbb7,20171210,56000.0,Yes,1,Kentucky,117
M,63,4a737483c1f947d0b06e5b898448b3e8,20151205,92000.0,Yes,1,Kentucky,117
M,25,400ec2d34163424787f1c23e14822e73,20180512,60000.0,Yes,0,Kentucky,117
M,64,a147578205db4be7a99b6280c1fd9418,20180710,62000.0,Yes,2,Kentucky,117
M,29,0bc7c49f736c4a7fb104595df8c54d74,20170601,55000.0,Yes,4,Kentucky,117
M,51,0305b52a24744a9bb660bffc6b39e884,20151218,114000.0,Yes,0,Kentucky,117
M,46,15ce94fa75264b5ebfc65f5944c482a9,20160426,56000.0,Yes,2,Kentucky,117
M,45,6adfab79d9114248b0e7295149bf98d8,20180422,43000.0,Yes,0,Kentucky,117
M,54,4a7fd076914f4107ba019e37ab1c1902,20180420,52000.0,Yes,3,Kentucky,117
M,44,63fc9cc612e146a3bed220e03c888cd4,20170301,64000.0,Yes,1,Kentucky,117
M,49,f9b172b45ea2495ba31fee39ca23e9b5,20170824,36000.0,Yes,2,Kentucky,117
M,49,f3bcf269056e4f79838751579d113e60,20160901,78000.0,Yes,3,Kentucky,117
M,29,4e62bddf5aa24d75875216715b2d241c,20131226,66000.0,Yes,1,Kentucky,117
M,26,aea4564b32c5480cbdf1c5813d2aa279,20171009,56000.0,Yes,3,Kentucky,117
M,18,2f31ca6bc8f741f2b1a809a38971d6bb,20180725,40000.0,Yes,4,Kentucky,117
M,59,922e38dbc17344eb94c7cd0cd3ae8dcc,20170529,58000.0,Yes,1,Kentucky,117
M,45,86ac6c4a83b44cf7b1bdf87ea65e62a4,20160930,91000.0,Yes,3,Kentucky,117
M,54,df9fc9a86ca84ef5aedde8925d5838ba,20170905,65000.0,Yes,0,Kentucky,117
M,55,40e6454455f941338a10f99206e0ff0d,20180325,56000.0,Yes,5,Kentucky,117
M,52,79904d30eb8a4763b5011a010e53fb97,20171226,54000.0,Yes,2,Kentucky,117
M,57,3676d09f2a6142c1afcebf8f75f4c5ec,20170714,85000.0,Yes,4,Kentucky,117
M,58,3eceb9642019459cbe7dbe9b169cda9d,20170807,34000.0,Yes,5,Kentucky,117
M,44,6b1a859eaad74f6d9f566b467c258e99,20140915,60000.0,Yes,3,Kentucky,117
M,56,365078962f7c45e0ad5423c31deab4fd,20160323,67000.0,Yes,0,Kentucky,117
M,61,146228b7a92045e2883fbefee7a15608,20180610,53000.0,Yes,4,Kentucky,117
M,25,69f32a7aa7c747f691996d31c271c6bf,20171130,35000.0,Yes,3,Kentucky,117
M,55,e19c572c460b4b0e81d80949bb7314ae,20171009,73000.0,Yes,0,Kentucky,117
M,67,2535a0b4c6514f7f9bfee402516da719,20160918,94000.0,Yes,0,Kentucky,117
M,38,abd6e8f0ea7d4f0f877e1683213dabb9,20151204,45000.0,Yes,0,Kentucky,117
M,34,669f556d7fb7408cb8fb0a5cdd7012fa,20141021,71000.0,Yes,2,Kentucky,117
M,54,93efe4b2acbc49ed9a8cd2b3c17d240b,20180408,40000.0,Yes,2,Kentucky,117
M,52,9066f87282d546eaa100c21bcd4aa3d4,20171007,59000.0,Yes,3,Kentucky,117
M,41,9e7dc72c57bd4116afe26ff053425b2c,20180123,72000.0,Yes,2,Kentucky,117
M,19,5cd966bc5ef04cb6b3aaad696d06444f,20140819,39000.0,Yes,5,Kentucky,117
M,55,33a250936721451c90b4280f3bcf7cd4,20140816,37000.0,Yes,0,Kentucky,117
M,42,73d69d9ca6614a74aa22018020d33587,20180405,62000.0,Yes,0,Kentucky,117
M,38,a88348f5ff9241c89340f9c30a779615,20180114,70000.0,Yes,1,Kentucky,117
